ApplicantIncome,CoapplicantIncome,Dependents,LoanAmount,Loan_Amount_Term,Property_Area,Education_Graduate,Education_Not Graduate,Gender_Female,Gender_Male,Married_No,Married_Yes,Credit_History_0.0,Credit_History_1.0,Credit_History_1.0,Self_Employed_No,Self_Employed_Yes,Loan_Status_N,Loan_Status_Y
5849,1601.9163302636496,0,142.51153039832286,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
4583,1508.0,1,128.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,1,0
3000,1601.9163302636496,0,66.0,360.0,Urban,1,0,0,1,0,1,0,1,0,0,1,0,1
2583,2358.0,0,120.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
6000,1601.9163302636496,0,141.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
5417,4196.0,2,267.0,360.0,Urban,1,0,0,1,0,1,0,1,0,0,1,0,1
2333,1516.0,0,95.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
3036,2504.0,3+,158.0,360.0,Semiurban,1,0,0,1,0,1,1,0,0,1,0,1,0
4006,1526.0,2,168.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
12841,10968.0,1,349.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,1,0
3200,700.0,2,70.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2500,1840.0,2,109.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
3073,8106.0,2,200.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
1853,2840.0,0,114.0,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,1,0
1299,1086.0,2,17.0,120.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
4950,1601.9163302636496,0,125.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
3596,1601.9163302636496,1,100.0,240.0,Urban,0,1,0,1,1,0,0,0,1,1,0,0,1
3510,1601.9163302636496,0,76.0,360.0,Urban,1,0,1,0,1,0,1,0,0,1,0,1,0
4887,1601.9163302636496,0,133.0,360.0,Rural,0,1,0,1,0,1,0,1,0,1,0,1,0
2600,3500.0,0,115.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
7660,1601.9163302636496,0,104.0,360.0,Urban,0,1,0,1,0,1,1,0,0,1,0,1,0
5955,5625.0,1,315.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2600,1911.0,0,116.0,360.0,Semiurban,0,1,0,1,0,1,1,0,0,1,0,1,0
3365,1917.0,2,112.0,360.0,Rural,0,1,0,1,0,1,1,0,0,1,0,1,0
3717,2925.0,1,151.0,360.0,Semiurban,1,0,0,1,0,1,0,0,1,1,0,1,0
9560,1601.9163302636496,0,191.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,0,1,0,1
2799,2253.0,0,122.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
4226,1040.0,2,110.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
1442,1601.9163302636496,0,35.0,360.0,Urban,0,1,0,1,1,0,0,1,0,1,0,1,0
3750,2083.0,2,120.0,360.0,Semiurban,1,0,1,0,1,0,0,1,0,1,0,0,1
4166,3369.0,1,201.0,360.0,Urban,1,0,0,1,0,1,0,0,1,1,0,1,0
3167,1601.9163302636496,0,74.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,1,0
4692,1601.9163302636496,1,106.0,360.0,Rural,1,0,0,1,1,0,0,1,0,0,1,1,0
3500,1667.0,0,114.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
12500,3000.0,3+,320.0,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,1,0
2275,2067.0,0,142.51153039832286,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
1828,1330.0,0,100.0,360.0,Urban,1,0,0,1,0,1,1,0,0,1,0,1,0
3667,1459.0,0,144.0,360.0,Semiurban,1,0,1,0,0,1,0,1,0,1,0,0,1
4166,7210.0,0,184.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
3748,1668.0,0,110.0,360.0,Semiurban,0,1,0,1,1,0,0,1,0,1,0,0,1
3600,1601.9163302636496,0,80.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,1,0
1800,1213.0,0,47.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
2400,1601.9163302636496,0,75.0,360.0,Urban,1,0,0,1,0,1,0,0,1,1,0,0,1
3941,2336.0,0,134.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
4695,1601.9163302636496,0,96.0,360.0,Urban,0,1,0,1,0,1,0,1,0,0,1,0,1
3410,1601.9163302636496,0,88.0,360.0,Urban,1,0,1,0,1,0,0,1,0,1,0,0,1
5649,1601.9163302636496,1,44.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
5821,1601.9163302636496,0,144.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2645,3440.0,0,120.0,360.0,Urban,1,0,1,0,0,1,1,0,0,1,0,1,0
4000,2275.0,0,144.0,360.0,Semiurban,1,0,1,0,1,0,0,1,0,1,0,0,1
1928,1644.0,0,100.0,360.0,Semiurban,0,1,1,0,0,1,0,1,0,1,0,0,1
3086,1601.9163302636496,0,120.0,360.0,Semiurban,1,0,1,0,1,0,0,1,0,1,0,0,1
4230,1601.9163302636496,0,112.0,360.0,Semiurban,1,0,1,0,1,0,0,1,0,1,0,1,0
4616,1601.9163302636496,2,134.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,1,0
11500,1601.9163302636496,1,286.0,360.0,Urban,1,0,1,0,0,1,1,0,0,0,1,1,0
2708,1167.0,2,97.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
2132,1591.0,0,96.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
3366,2200.0,0,135.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,1,0
8080,2250.0,1,180.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
3357,2859.0,2,144.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
2500,3796.0,0,120.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
3029,1601.9163302636496,3+,99.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2609,3449.0,0,165.0,180.0,Rural,0,1,0,1,0,1,1,0,0,0,1,1,0
4945,1601.9163302636496,1,142.51153039832286,360.0,Rural,1,0,0,1,0,1,1,0,0,1,0,1,0
4166,1601.9163302636496,0,116.0,360.0,Semiurban,1,0,1,0,1,0,1,0,0,1,0,1,0
5726,4595.0,0,258.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,1,0
3200,2254.0,0,126.0,180.0,Urban,0,1,0,1,1,0,1,0,0,1,0,1,0
10750,1601.9163302636496,1,312.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
7100,1601.9163302636496,3+,125.0,60.0,Urban,0,1,0,1,0,1,0,1,0,0,1,0,1
4300,1601.9163302636496,0,136.0,360.0,Semiurban,1,0,1,0,1,0,1,0,0,1,0,1,0
3208,3066.0,0,172.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
1875,1875.0,2,97.0,360.0,Semiurban,0,1,0,1,0,1,0,1,0,0,1,0,1
3500,1601.9163302636496,0,81.0,300.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
4755,1601.9163302636496,3+,95.0,360.0,Semiurban,0,1,0,1,0,1,1,0,0,1,0,1,0
5266,1774.0,3+,187.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,0,1,0,1
3750,1601.9163302636496,0,113.0,480.0,Urban,1,0,0,1,1,0,0,1,0,1,0,1,0
3750,4750.0,0,176.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,1,0
1000,3022.0,1,110.0,360.0,Urban,1,0,0,1,0,1,0,1,0,0,1,1,0
3167,4000.0,3+,180.0,300.0,Semiurban,1,0,0,1,0,1,1,0,0,1,0,1,0
3333,2166.0,3+,130.0,360.0,Semiurban,0,1,0,1,0,1,0,0,1,0,1,0,1
3846,1601.9163302636496,0,111.0,360.0,Semiurban,1,0,1,0,1,0,0,1,0,1,0,0,1
2395,1601.9163302636496,1,142.51153039832286,360.0,Semiurban,1,0,0,1,0,1,0,1,0,0,1,0,1
1378,1881.0,2,167.0,360.0,Urban,1,0,1,0,0,1,0,1,0,1,0,1,0
6000,2250.0,0,265.0,360.0,Semiurban,1,0,0,1,0,1,0,0,1,1,0,1,0
3988,1601.9163302636496,1,50.0,240.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2366,2531.0,0,136.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
3333,2000.0,2,99.0,360.0,Semiurban,0,1,0,1,0,1,0,0,1,1,0,0,1
2500,2118.0,0,104.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
8566,1601.9163302636496,0,210.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
5695,4167.0,0,175.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
2958,2900.0,0,131.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
6250,5654.0,2,188.0,180.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
3273,1820.0,2,81.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
4133,1601.9163302636496,0,122.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
3620,1601.9163302636496,0,25.0,120.0,Semiurban,0,1,0,1,1,0,0,1,0,1,0,0,1
6782,1601.9163302636496,0,142.51153039832286,360.0,Urban,1,0,0,1,1,0,0,0,1,1,0,1,0
2484,2302.0,0,137.0,360.0,Semiurban,1,0,1,0,0,1,0,1,0,1,0,0,1
1977,997.0,0,50.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
4188,1601.9163302636496,0,115.0,180.0,Semiurban,0,1,0,1,0,1,0,1,0,1,0,0,1
1759,3541.0,0,131.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
4288,3263.0,2,133.0,180.0,Urban,0,1,0,1,0,1,0,1,0,1,0,0,1
4843,3806.0,0,151.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
13650,1601.9163302636496,2,142.51153039832286,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
4652,3583.0,0,142.51153039832286,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
3816,754.0,2,160.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
3052,1030.0,1,100.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
11417,1126.0,2,225.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
7333,1601.9163302636496,0,120.0,360.0,Rural,0,1,0,1,1,0,0,1,0,1,0,1,0
3800,3600.0,2,216.0,360.0,Urban,1,0,0,1,0,1,1,0,0,1,0,1,0
2071,754.0,3+,94.0,480.0,Semiurban,0,1,0,1,0,1,0,1,0,1,0,0,1
5316,1601.9163302636496,0,136.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
2929,2333.0,0,139.0,360.0,Semiurban,1,0,1,0,0,1,0,1,0,1,0,0,1
3572,4114.0,0,152.0,360.0,Rural,0,1,0,1,0,1,1,0,0,1,0,1,0
7451,1601.9163302636496,1,142.51153039832286,360.0,Semiurban,1,0,1,0,1,0,0,1,0,0,1,0,1
5050,1601.9163302636496,0,118.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
14583,1601.9163302636496,1,185.0,180.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
3167,2283.0,0,154.0,360.0,Semiurban,1,0,1,0,0,1,0,1,0,1,0,0,1
2214,1398.0,1,85.0,360.0,Urban,1,0,0,1,0,1,0,0,1,1,0,0,1
5568,2142.0,0,175.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,1,0
10408,1601.9163302636496,0,259.0,360.0,Urban,1,0,1,0,1,0,0,1,0,1,0,0,1
5667,2667.0,2,180.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
4166,1601.9163302636496,0,44.0,360.0,Semiurban,1,0,1,0,1,0,0,1,0,1,0,0,1
2137,8980.0,0,137.0,360.0,Semiurban,1,0,1,0,1,0,1,0,0,1,0,0,1
2957,1601.9163302636496,2,81.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
4300,2014.0,0,194.0,360.0,Rural,0,1,0,1,0,1,0,1,0,1,0,0,1
3692,1601.9163302636496,0,93.0,360.0,Rural,1,0,1,0,1,0,0,0,1,1,0,0,1
23803,1601.9163302636496,3+,370.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
3865,1640.0,0,142.51153039832286,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,0,1
10513,3850.0,1,160.0,180.0,Urban,1,0,0,1,0,1,1,0,0,0,1,1,0
6080,2569.0,0,182.0,360.0,Rural,1,0,0,1,0,1,0,0,1,1,0,1,0
20166,1601.9163302636496,0,650.0,480.0,Urban,1,0,0,1,1,0,0,0,1,0,1,0,1
2014,1929.0,0,74.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
2718,1601.9163302636496,0,70.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
3459,1601.9163302636496,0,25.0,120.0,Semiurban,1,0,0,1,0,1,0,1,0,0,1,0,1
4895,1601.9163302636496,0,102.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
4000,7750.0,3+,290.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,1,0
4583,1601.9163302636496,0,84.0,360.0,Rural,1,0,1,0,0,1,0,1,0,1,0,1,0
3316,3500.0,2,88.0,360.0,Urban,1,0,0,1,0,1,0,1,0,0,1,0,1
14999,1601.9163302636496,0,242.0,360.0,Semiurban,1,0,0,1,1,0,1,0,0,1,0,1,0
4200,1430.0,2,129.0,360.0,Rural,0,1,0,1,0,1,0,1,0,1,0,1,0
5042,2083.0,2,185.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,1,0
5417,1601.9163302636496,0,168.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
6950,1601.9163302636496,0,175.0,180.0,Semiurban,1,0,0,1,1,0,0,1,0,0,1,0,1
2698,2034.0,0,122.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
11757,1601.9163302636496,2,187.0,180.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2330,4486.0,0,100.0,360.0,Semiurban,1,0,1,0,0,1,0,1,0,1,0,0,1
14866,1601.9163302636496,2,70.0,360.0,Urban,1,0,1,0,0,1,0,1,0,1,0,0,1
1538,1425.0,1,30.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
10000,1666.0,0,225.0,360.0,Rural,1,0,1,0,1,0,0,1,0,1,0,1,0
4860,830.0,0,125.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
6277,1601.9163302636496,0,118.0,360.0,Rural,1,0,0,1,1,0,1,0,0,1,0,1,0
2577,3750.0,0,152.0,360.0,Rural,1,0,0,1,0,1,0,1,0,0,1,0,1
9166,1601.9163302636496,0,244.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,1,0
2281,1601.9163302636496,2,113.0,360.0,Rural,0,1,0,1,0,1,0,1,0,1,0,1,0
3254,1601.9163302636496,0,50.0,360.0,Urban,1,0,0,1,1,0,0,1,0,1,0,0,1
39999,1601.9163302636496,3+,600.0,180.0,Semiurban,1,0,0,1,0,1,1,0,0,1,0,0,1
6000,1601.9163302636496,1,160.0,360.0,Rural,1,0,0,1,0,1,0,0,1,1,0,0,1
9538,1601.9163302636496,1,187.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
2980,2083.0,0,120.0,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,0,1
4583,5625.0,0,255.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
1863,1041.0,0,98.0,360.0,Semiurban,0,1,0,1,0,1,0,1,0,1,0,0,1
7933,1601.9163302636496,0,275.0,360.0,Urban,1,0,0,1,0,1,0,1,0,1,0,1,0
3089,1280.0,1,121.0,360.0,Semiurban,1,0,0,1,0,1,1,0,0,1,0,1,0
4167,1447.0,2,158.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
9323,1601.9163302636496,0,75.0,180.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
3707,3166.0,0,182.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
4583,1601.9163302636496,0,112.0,360.0,Rural,1,0,1,0,0,1,0,1,0,1,0,1,0
2439,3333.0,0,129.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
2237,1601.9163302636496,0,63.0,480.0,Semiurban,1,0,0,1,1,0,1,0,0,1,0,1,0
8000,1601.9163302636496,2,200.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
1820,1769.0,0,95.0,360.0,Rural,0,1,0,1,0,1,0,1,0,1,0,0,1
51763,1601.9163302636496,3+,700.0,300.0,Urban,1,0,0,1,0,1,0,1,0,1,0,0,1
3522,1601.9163302636496,3+,81.0,180.0,Rural,0,1,0,1,0,1,0,1,0,1,0,1,0
5708,5625.0,0,187.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
4344,736.0,0,87.0,360.0,Semiurban,0,1,0,1,0,1,0,1,0,0,1,1,0
3497,1964.0,0,116.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
2045,1619.0,2,101.0,360.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
5516,11300.0,3+,495.0,360.0,Semiurban,1,0,0,1,0,1,1,0,0,1,0,1,0
3750,1601.9163302636496,1,116.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
2333,1451.0,0,102.0,480.0,Urban,0,1,0,1,1,0,1,0,0,1,0,1,0
6400,7250.0,1,180.0,360.0,Urban,1,0,0,1,0,1,1,0,0,1,0,1,0
1916,5063.0,0,67.0,360.0,Rural,1,0,0,1,1,0,0,0,1,1,0,1,0
4600,1601.9163302636496,0,73.0,180.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,0,1
33846,1601.9163302636496,1,260.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,1,0
3625,1601.9163302636496,0,108.0,360.0,Semiurban,1,0,1,0,0,1,0,1,0,1,0,0,1
39147,4750.0,0,120.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,0,1,0,1
2178,1601.9163302636496,1,66.0,300.0,Rural,1,0,0,1,0,1,1,0,0,0,1,1,0
2383,2138.0,0,58.0,360.0,Rural,1,0,0,1,0,1,0,0,1,1,0,0,1
674,5296.0,0,168.0,360.0,Rural,1,0,0,1,0,1,0,1,0,0,1,0,1
9328,1601.9163302636496,0,188.0,180.0,Rural,1,0,0,1,0,1,0,1,0,1,0,0,1
4885,1601.9163302636496,0,48.0,360.0,Rural,0,1,0,1,1,0,0,1,0,1,0,0,1
12000,1601.9163302636496,0,164.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,1,0
6033,1601.9163302636496,0,160.0,360.0,Urban,0,1,0,1,0,1,0,1,0,1,0,1,0
3858,1601.9163302636496,0,76.0,360.0,Semiurban,1,0,0,1,1,0,0,1,0,1,0,0,1
4191,1601.9163302636496,0,120.0,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,0,1
3125,2583.0,1,170.0,360.0,Semiurban,1,0,0,1,0,1,0,1,0,1,0,1,0
8333,3750.0,0,187.0,360.0,Rural,1,0,0,1,1,0,0,1,0,1,0,0,1
1907,2365.0,0,120.0,360.0,Urban,0,1,1,0,1,0,0,1,0,1,0,0,1
3416,2816.0,0,113.0,360.0,Semiurban,1,0,1,0,0,1,0,0,1,1,0,0,1
11000,1601.9163302636496,0,83.0,360.0,Urban,1,0,0,1,1,0,0,1,0,0,1,1,0
2600,2500.0,1,90.0,360.0,Semiurban,0,1,0,1,0,1,0,1,0,1,0,0,1
